age,sex,job,housing,saving_account,checking_account,credit_amount,duration,risk,purpose,age_group,credit_per_month,saving_score,checking_score
67,male,skilled,own,little,little,1169,6,0,radio/TV,Retired,194.83333333333334,1,1
22,female,skilled,own,little,moderate,5951,48,1,radio/TV,Young,123.97916666666667,1,2
49,male,unskilled_and_non-resident,own,little,little,2096,12,0,education,Middle-aged,174.66666666666666,1,1
45,male,skilled,free,little,little,7882,42,0,furniture/equipment,Middle-aged,187.66666666666666,1,1
53,male,skilled,free,little,little,4870,24,1,car,Middle-aged,202.91666666666666,1,1
35,male,unskilled_and_non-resident,free,little,moderate,9055,36,0,education,Middle-aged,251.52777777777777,1,2
53,male,skilled,own,quite rich,moderate,2835,24,0,furniture/equipment,Middle-aged,118.125,4,2
35,male,highly skilled,rent,little,moderate,6948,36,0,car,Middle-aged,193.0,1,2
61,male,unskilled_and_non-resident,own,rich,moderate,3059,12,0,radio/TV,Middle-aged,254.91666666666666,3,2
28,male,highly skilled,own,little,moderate,5234,30,1,car,Young,174.46666666666667,1,2
25,female,skilled,rent,little,moderate,1295,12,1,car,Young,107.91666666666667,1,2
24,female,skilled,rent,little,little,4308,48,1,business,Young,89.75,1,1
22,female,skilled,own,little,moderate,1567,12,0,radio/TV,Young,130.58333333333334,1,2
60,male,unskilled_and_non-resident,own,little,little,1199,24,1,car,Middle-aged,49.958333333333336,1,1
28,female,skilled,rent,little,little,1403,15,0,car,Young,93.53333333333333,1,1
32,female,unskilled_and_non-resident,own,moderate,little,1282,24,1,radio/TV,Young,53.416666666666664,2,1
53,male,skilled,own,little,moderate,2424,24,0,radio/TV,Middle-aged,101.0,1,2
25,male,skilled,own,little,little,8072,30,0,business,Young,269.06666666666666,1,1
44,female,highly skilled,free,little,moderate,12579,24,1,car,Middle-aged,524.125,1,2
31,male,skilled,own,quite rich,moderate,3430,24,0,radio/TV,Young,142.91666666666666,4,2
48,male,skilled,own,little,little,2134,9,0,car,Middle-aged,237.11111111111111,1,1
44,male,skilled,rent,quite rich,little,2647,6,0,radio/TV,Middle-aged,441.1666666666667,4,1
48,male,unskilled_and_non-resident,rent,little,little,2241,10,0,car,Middle-aged,224.1,1,1
44,male,skilled,own,moderate,moderate,1804,12,0,car,Middle-aged,150.33333333333334,2,2
26,male,skilled,own,little,moderate,2069,10,0,furniture/equipment,Young,206.9,1,2
36,male,unskilled_and_non-resident,own,little,little,1374,6,0,furniture/equipment,Middle-aged,229.0,1,1
39,male,unskilled_and_non-resident,own,little,little,426,6,0,radio/TV,Middle-aged,71.0,1,1
42,female,skilled,rent,rich,rich,409,12,0,radio/TV,Middle-aged,34.083333333333336,3,3
34,male,skilled,own,little,moderate,2415,7,0,radio/TV,Young,345.0,1,2
63,male,skilled,own,little,little,6836,60,1,business,Middle-aged,113.93333333333334,1,1
36,male,skilled,own,rich,moderate,1913,18,0,business,Middle-aged,106.27777777777777,3,2
27,male,skilled,own,little,little,4020,24,0,furniture/equipment,Young,167.5,1,1
30,male,skilled,own,moderate,moderate,5866,18,0,car,Young,325.8888888888889,2,2
